model,outcome,term,n,estimate,lci,uci,pvalue
OR_awareness,ccp5_bin,Never married/union (ref: current),3899,1.438349871279951,.5841260611876612,3.541787449107488,.4286310189550117
OR_awareness,ccp5_bin,Primary or less (ref: upper secondary+),3899,.2491048318286641,.1443278837062989,.4299461451722154,7.29617407905e-07
OR_awareness,ccp5_bin,Lower secondary (ref: upper secondary+),3899,.5876835691370157,.4477369131645982,.7713725790275749,.0001358984598259
OR_awareness,ccp5_bin,Uninsured (ref: insured),3899,1.021576548440024,.7248481040111441,1.439775642024149,.9028178394999012
OR_awareness,ccp5_bin,Ethnic minority (ref: Kinh/Hoa),3899,.7088837825500774,.520547142721991,.965361589605122,.0290384357094608
OR_awareness,ccp5_bin,Q1 poorest (ref: Q5 richest),3899,.1975140775836272,.1230986741467855,.3169149555355292,3.47859554960e-11
OR_awareness,ccp5_bin,Q2 (ref: Q5 richest),3899,.3613083145433623,.2449666230911336,.5329040197839514,3.52744618182e-07
OR_awareness,ccp5_bin,Q3 (ref: Q5 richest),3899,.3724577793215797,.2550416048786017,.5439300675793455,3.96670057976e-07
OR_awareness,ccp5_bin,Q4 (ref: Q5 richest),3899,.5254708273442341,.3645973561475437,.757327462018389,.0005809144853123
OR_awareness,ccp5_bin,Mass media exposure (ref: no),3899,1.394806700220618,.9917355182991739,1.96169814943891,.0558246722582136
OR_awareness,ccp5_bin,Rejects all wife-beating justifications (ref: no),3899,1.736709298382485,1.218898230685528,2.474496320658245,.002290984941708
OR_awareness,ccp5_bin,Ever had sexual intercourse (ref: no),3899,1.273042239165603,.5457729056029823,2.969433854378053,.5759076332514966
OR_vaccination,ccp6_bin,Rural (ref: urban),3899,.7542158540027908,.5047445046995016,1.126989098708103,.168346496832606
OR_vaccination,ccp6_bin,Age 15-19 (ref: 25-29),3899,.4669072539538417,.2592099114570516,.8410264197433591,.0112712431905743
OR_vaccination,ccp6_bin,Age 20-24 (ref: 25-29),3899,1.17841833569741,.7709825229318338,1.801168940415309,.4476497991718942
OR_vaccination,ccp6_bin,Formerly married/union (ref: current),3899,1.553303934383945,.6539737027545343,3.689373291938401,.3178891801949697
OR_vaccination,ccp6_bin,Never married/union (ref: current),3899,1.226266151342161,.5299982098074975,2.837233496455943,.6332110913384803
OR_vaccination,ccp6_bin,Primary or less (ref: upper secondary+),3899,.3135688100311257,.0558665661282852,1.76000433602011,.1872753436724563
OR_vaccination,ccp6_bin,Lower secondary (ref: upper secondary+),3899,.4033511813721005,.2110583737722462,.7708397094437521,.0060717847044603
OR_vaccination,ccp6_bin,Uninsured (ref: insured),3899,.6460785038203851,.3451512698509835,1.209375336440177,.171737652243426
OR_vaccination,ccp6_bin,Ethnic minority (ref: Kinh/Hoa),3899,.7291500244373388,.2842848985757044,1.870165319370251,.5104643931351942
OR_vaccination,ccp6_bin,Q1 poorest (ref: Q5 richest),3899,.1038849795104691,.0331033267646471,.3260122175821937,.0001110880735276
OR_vaccination,ccp6_bin,Q2 (ref: Q5 richest),3899,.5340160437926016,.313131870474157,.9107125844331365,.0213273800852205
OR_vaccination,ccp6_bin,Q3 (ref: Q5 richest),3899,.3870422710768402,.2318024323186755,.6462474017286199,.00029830071778
OR_vaccination,ccp6_bin,Q4 (ref: Q5 richest),3899,.581064628977789,.3619836885328419,.932738445805584,.0246187769820499
OR_vaccination,ccp6_bin,Mass media exposure (ref: no),3899,2.049541313259367,.7626825995993738,5.507690351088978,.1545130278058817
OR_vaccination,ccp6_bin,Rejects all wife-beating justifications (ref: no),3899,1.690815684884248,.8598692813435289,3.324758474664522,.1277074516793392
OR_vaccination,ccp6_bin,Ever had sexual intercourse (ref: no),3899,.7032662859585168,.2962898517043506,1.669255514898299,.4242207719755536
OR_gap,gap,Rural (ref: urban),4033,1.198935366554387,.8026013523341559,1.790983791635122,.3750498739580528
OR_gap,gap,Age 15-19 (ref: 25-29),4033,1.380489984148707,.7691788321196042,2.477645661520961,.2794369882987408
OR_gap,gap,Age 20-24 (ref: 25-29),4033,.8004581230186929,.5190701305469524,1.234386586705458,.3133738353260573
OR_gap,gap,Formerly married/union (ref: current),4033,.6255012249355074,.2657545326715058,1.472229950182784,.282194000866397
OR_gap,gap,Never married/union (ref: current),4033,.7697546606929037,.3399844541229935,1.742792149678983,.5297199526820254
OR_gap,gap,Primary or less (ref: upper secondary+),4033,1.2558224632905,.2372581286896504,6.647148689973693,.7884756614979298
OR_gap,gap,Lower secondary (ref: upper secondary+),4033,2.063696152463628,1.049828378743741,4.056702882036253,.0356816160562315
OR_gap,gap,Uninsured (ref: insured),4033,1.55769577225204,.8272407030697537,2.933144017077315,.1695721834893141
OR_gap,gap,Ethnic minority (ref: Kinh/Hoa),4033,1.267226723423807,.4995814774788359,3.214417749560118,.6175414459957733
OR_gap,gap,Q1 poorest (ref: Q5 richest),4033,5.676181423576039,1.825637585680474,17.64810048065516,.0027501978819012
OR_gap,gap,Q2 (ref: Q5 richest),4033,1.426399083696154,.8270520232296094,2.460080247460287,.2011920753632367
OR_gap,gap,Q3 (ref: Q5 richest),4033,1.985047263129143,1.166379269688125,3.378328764287895,.0115730777003999
OR_gap,gap,Q4 (ref: Q5 richest),4033,1.537980531884906,.9407612220357192,2.514329950099887,.0859736424146707
OR_gap,gap,Mass media exposure (ref: no),4033,.4822684923079639,.1773298589634837,1.311583396233856,.1528448763807719
OR_gap,gap,Rejects all wife-beating justifications (ref: no),4033,.7732551471941749,.3987116429552893,1.499638982775667,.4461739388251525
OR_gap,gap,Ever had sexual intercourse (ref: no),4033,1.344434462534869,.5797047960043334,3.117973210692412,.4899114296423773
OR_vaccination_aware,ccp6_aware,Rural (ref: urban),4033,.8340733186259184,.5583523450466438,1.245948561003244,.3750498739580513
OR_vaccination_aware,ccp6_aware,Age 15-19 (ref: 25-29),4033,.7243804819175556,.4036089645628041,1.300087779644595,.2794369882987391
OR_vaccination_aware,ccp6_aware,Age 20-24 (ref: 25-29),4033,1.249284592464117,.8101189779362159,1.926521949830332,.3133738353260582
OR_vaccination_aware,ccp6_aware,Formerly married/union (ref: current),4033,1.598717892364008,.6792417175563129,3.762870909284097,.2821940008663974
OR_vaccination_aware,ccp6_aware,Never married/union (ref: current),4033,1.299115226012187,.5737918891729039,2.941310956642213,.5297199526820247
OR_vaccination_aware,ccp6_aware,Primary or less (ref: upper secondary+),4033,.7962909003712233,.1504404439618393,4.214818710418415,.7884756614979296
OR_vaccination_aware,ccp6_aware,Lower secondary (ref: upper secondary+),4033,.4845674586378453,.2465056054334577,.9525366433670162,.0356816160562314
OR_vaccination_aware,ccp6_aware,Uninsured (ref: insured),4033,.641973880788191,.3409310944767162,1.208838003605437,.1695721834893137
OR_vaccination_aware,ccp6_aware,Ethnic minority (ref: Kinh/Hoa),4033,.7891247726359412,.3110983319255399,2.001675492547388,.6175414459957742
OR_vaccination_aware,ccp6_aware,Q1 poorest (ref: Q5 richest),4033,.1761747776148408,.0566633219873233,.5477538410928728,.0027501978819012
OR_vaccination_aware,ccp6_aware,Q2 (ref: Q5 richest),4033,.7010660700992255,.406490804937103,1.209113782341083,.2011920753632351
OR_vaccination_aware,ccp6_aware,Q3 (ref: Q5 richest),4033,.5037663427840213,.2960043470519918,.8573540579706848,.0115730777003997
OR_vaccination_aware,ccp6_aware,Q4 (ref: Q5 richest),4033,.6502032888377509,.3977202753203781,1.062968983602548,.0859736424146701
OR_vaccination_aware,ccp6_aware,Mass media exposure (ref: no),4033,2.073533759616675,.7624372212025911,5.639208229483343,.1528448763807731
OR_vaccination_aware,ccp6_aware,Rejects all wife-beating justifications (ref: no),4033,1.293234197830542,.6668271573929803,2.508078250707447,.4461739388251572
OR_vaccination_aware,ccp6_aware,Ever had sexual intercourse (ref: no),4033,.7438071753341864,.3207211648165318,1.72501591653643,.4899114296423626
