outcome,variable,dydx,mean_x,ci_x,contribution,percentage,variable_label
ccp6_bin,edu1,-.0655298464390622,.0517465771955076,-.6865217155659862,.0093118302219164,8.003315976694539,Primary or less
ccp6_bin,edu2,-.051117024975604,.2218034536531877,-.3611377780649074,.016378223263713,14.07672743085816,Lower secondary
ccp6_bin,ses1,-.1251581321323673,.1897314295284913,-.8102685701038509,.076963947824261,66.14884277009789,Q1 poorest
ccp6_bin,ses2,-.0445090152786701,.2114871690434321,-.4090499713059187,.0154016896408182,13.23741797614982,Q2
ccp6_bin,ses3,-.064604115239688,.2199732848202606,.0224104821047877,-.0012739175303077,-1.094904468866533,Q3
ccp6_bin,ses4,-.0369517889357461,.2010716825546213,.4434554501034927,-.0131794221412355,-11.32742729117802,Q4
ccp6_bin,mme,.0421996653921049,.9113533374930159,.0489797253299925,.0075348069972582,6.476003082673902,Mass media exposure
ccp6_bin,dvindex,.0327125785880168,.9022117878946168,.0246709770017676,.0029125246914013,2.503251760362556,Gender-equitable attitude
ccp6_bin,sb1n,-.025144145521346,.5465149990536948,-.102991216940431,.0056610781232956,4.865573781924422,Ever had sex
ccp6_bin,Residual,,,,-.0202690113541199,-17.4207753509541,Residual
gap,age_15_19,.0359369697473424,.2210727776811624,.0829219398535597,.0026351550068743,-2.139331677944283,Age 15-19
gap,age_20_24,-.0211600189785306,.3173051196549151,-.0240554417283301,.0006460504894689,-.5244914527102218,Age 20-24
gap,rural,.0195370820151303,.5565778525010774,-.1754173778474056,-.0076298891183232,6.194270715555554,Rural residence
gap,minority,.0207530228035707,.0873102595245556,-.6683435527425375,-.004844025232084,3.932587115643965,Ethnic minority
gap,insu,.0436617611971132,.1307188144493855,-.1163172564066455,-.0026554827926495,2.155834644918865,Uninsured
gap,mstatus2,-.0427207023587431,.0297058540906359,-.1320252871370939,.000670189377151,-.5440884354129298,Formerly married/union
gap,mstatus3,-.0211778637244805,.4866066641276129,.1113153725034695,-.0045885486113676,3.725180254853306,Never married/union
gap,edu1,.0287197308884047,.0185522280758858,-.6768453190797239,-.0014425333485683,1.171110344944678,Primary or less
gap,edu2,.0631255892452512,.1759662021412453,-.4503126643652017,-.020008238621149,16.24354491118321,Lower secondary
gap,ses1,.1486435053063267,.1023729840826511,-.8976270171377734,-.0546370456571258,44.35669334769884,Q1 poorest
gap,ses2,.0394297798020607,.1997372337744765,-.5955167974022462,-.0187601967959312,15.23033111346627,Q2
gap,ses3,.0708722881941127,.2269487259059746,-.1688308382138362,-.0108621543964409,8.818362081322583,Q3
gap,ses4,.0440589790187575,.2350055532189477,.2931234414451019,.012140123256205,-9.855871927228195,Q4
gap,mme,-.0660335750376547,.9441874690957577,.0251079184191835,-.0062617214313946,5.083533599237697,Mass media exposure
gap,dvindex,-.0243121435707481,.9301670723989707,.0143964900818173,-.0013022693734063,1.057238043483984,Gender-equitable attitude
gap,sb1n,.0332450690855013,.5531428685612916,-.0953179783142912,-.0070113132541646,5.692084340198474,Ever had sex
gap,Residual,,,,.0007353480289819,-.5969870192118009,Residual
